question,answer
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 flatworms, 2 giraffes, 4 fireflys, 15 ants, 4 tigers, 1 cow, 6 sea slugs, 11 snakes, 11 jellyfishs, 14 woodlouses?
",338
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 grasshopper, 14 cockroachs, 7 butterflys, 7 chickens, 9 flatworms, 6 cats, 10 lions, 7 bees?
",252
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 humans, 11 deers, 3 fireflys?
",88
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 humans, 5 insects, 1 duck, 8 spiders, 3 praying mantiss?
",122
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 butterflys, 3 beetles, 14 elephants, 8 woodlouses, 1 grasshopper, 4 insects, 4 wasps, 2 jellyfishs?
",294
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 crabs, 6 snakes, 14 shrimps, 8 giraffes?
",202
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 7 birds, 8 butterflys, 12 woodlouses, 13 lions?
",282
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 cows, 15 beetles, 10 horses, 15 butterflys?
",252
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 grasshopper, 6 butterflys, 8 elephants, 2 crickets, 15 tigers?
",146
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 woodlouse, 2 ducks, 2 horses, 2 birds, 15 spiders, 8 dogs, 2 crabs?
",202
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 7 birds, 11 giraffes, 12 snakes?
",58
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 horses, 10 sea slugs, 3 jellyfishs, 12 ducks, 5 dogs, 2 chickens?
",100
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 insects, 15 ducks, 6 bees, 6 butterflys, 15 birds, 7 snakes, 8 horses, 5 praying mantiss?
",212
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 14 elephants, 11 butterflys, 1 scorpion, 9 leechs?
",130
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 6 dogs, 11 lobsters, 10 wasps, 12 giraffes, 7 beetles, 6 shrimps?
",344
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 flatworms, 2 beetles, 12 lions, 5 fireflys, 13 chickens, 6 ducks?
",128
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 beetles, 10 horses, 15 leechs, 14 cows?
",144
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 crabs, 8 praying mantiss, 5 wasps, 9 scorpions, 6 sheeps, 7 dogs, 12 sea slugs, 12 horses, 3 ants, 1 butterfly?
",364
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 sheeps, 11 bees, 9 cows?
",122
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 spiders, 5 lions, 11 crickets, 7 scorpions, 13 beetles, 5 fireflys, 2 crabs, 13 deers, 6 sea slugs?
",354
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 dogs, 4 scorpions, 7 spiders, 3 leechs, 9 humans, 8 cows, 1 firefly, 9 giraffes?
",212
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 chickens, 9 fireflys, 7 snakes, 5 ants, 10 dogs, 7 horses, 3 lions, 2 jellyfishs?
",172
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 spiders, 11 cockroachs, 13 crabs, 1 jellyfish?
",276
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 7 bees, 11 sea slugs, 10 wasps, 12 deers, 10 lions, 8 chickens, 10 elephants, 8 spiders, 14 jellyfishs, 12 crickets?
",382
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 snakes, 3 beetles, 12 leechs, 1 jellyfish, 2 fireflys, 5 grasshoppers, 2 crickets, 6 scorpions?
",120
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 2 insects, 8 cows, 8 flatworms, 13 ducks, 3 leechs, 8 fireflys, 7 woodlouses, 11 butterflys, 3 starfishs?
",297
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 jellyfishs, 2 lions, 1 woodlouse, 8 scorpions, 3 sheeps, 11 cats, 15 spiders, 3 fireflys, 13 crickets?
",358
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 14 dogs, 13 jellyfishs, 3 spiders, 10 tigers, 12 shrimps, 10 cockroachs, 13 bees, 4 deers?
",394
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 elephants, 14 ants, 8 butterflys?
",192
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 duck, 5 cockroachs, 8 bees, 11 deers?
",124
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 7 flatworms, 10 cats, 3 shrimps, 6 spiders, 4 crickets, 4 ants, 15 starfishs, 15 grasshoppers, 2 elephants, 9 cockroachs?
",393
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 6 shrimps, 2 deers, 3 leechs, 4 ducks, 6 bees, 5 horses, 9 spiders, 9 cats, 6 cockroachs, 5 cows?
",296
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 6 starfishs, 13 scorpions, 15 leechs, 1 horse, 15 spiders, 10 ants, 7 cows, 13 praying mantiss, 10 humans, 4 chickens?
",452
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 lobster, 14 woodlouses, 2 jellyfishs, 13 praying mantiss, 8 deers, 15 scorpions?
",436
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 sheeps, 11 fireflys, 8 butterflys, 11 insects, 14 lions, 14 cats?
",308
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 grasshoppers, 4 crickets, 9 fireflys?
",168
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 woodlouse, 1 human, 6 birds, 7 ants, 7 dogs, 8 leechs, 11 jellyfishs?
",98
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 11 insects, 12 spiders, 8 cows, 4 butterflys, 6 horses, 2 starfishs, 1 giraffe, 7 deers, 4 beetles?
",308
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 sea slug, 14 starfishs, 10 bees, 5 horses, 4 insects, 8 crabs?
",254
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 6 ants, 4 grasshoppers, 11 ducks, 3 insects, 13 tigers, 2 butterflys, 1 cow, 5 deers, 6 lobsters, 8 jellyfishs?
",248
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 praying mantiss, 2 crabs, 14 wasps, 2 cockroachs, 12 ants, 1 duck, 15 sea slugs, 2 lobsters?
",300
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 dogs, 11 wasps, 5 beetles, 12 elephants, 14 leechs, 10 chickens, 2 giraffes, 13 sea slugs, 8 starfishs, 9 cows?
",268
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 jellyfishs, 9 deers, 11 woodlouses, 5 butterflys, 2 horses, 8 elephants, 14 cats, 15 shrimps?
",466
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 tiger, 5 elephants, 14 dogs, 7 woodlouses, 11 starfishs, 3 leechs, 9 lions, 1 cockroach, 2 praying mantiss, 3 grasshoppers?
",305
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 wasps, 9 beetles, 14 cats, 3 cockroachs, 10 snakes, 2 spiders, 12 grasshoppers, 9 sheeps?
",306
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 6 fireflys, 8 flatworms, 12 spiders, 5 insects, 12 scorpions, 9 wasps, 11 snakes, 8 bees?
",360
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 lions, 10 humans, 15 giraffes, 15 grasshoppers, 13 cows, 8 wasps?
",310
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 humans, 7 grasshoppers, 9 fireflys, 12 chickens, 15 starfishs, 4 deers, 11 snakes, 2 lions, 2 spiders?
",241
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 sea slugs, 6 crickets, 14 spiders, 9 lobsters?
",238
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 tigers, 7 crabs, 4 starfishs, 14 woodlouses, 15 lobsters?
",472
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 giraffes, 11 woodlouses, 12 cats, 13 spiders, 15 cockroachs, 2 humans, 5 bees, 6 sea slugs, 7 deers?
",498
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 elephant, 15 scorpions, 7 ducks?
",138
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 grasshoppers, 12 beetles, 10 lions, 12 cows, 7 cats, 14 dogs, 3 insects, 4 deers?
",296
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 ducks, 12 crabs, 11 grasshoppers, 3 lobsters, 5 cats, 11 horses, 10 wasps, 9 cockroachs?
",404
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 fireflys, 7 praying mantiss, 11 dogs, 6 horses, 3 chickens, 5 cats, 10 leechs, 2 crabs, 11 wasps?
",276
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 starfishs, 10 ants, 6 birds, 8 tigers, 3 insects, 10 leechs, 4 horses?
",163
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 chickens, 2 deers, 1 crab?
",48
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 grasshoppers, 3 ants, 5 flatworms, 1 firefly, 2 lions, 4 snakes, 9 birds, 7 lobsters, 8 crickets, 9 jellyfishs?
",258
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 grasshopper, 14 insects, 15 crabs, 15 cats, 6 leechs?
",300
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 shrimps, 10 sheeps, 10 praying mantiss, 3 cats, 2 beetles, 15 chickens?
",204
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 2 chickens, 15 fireflys, 15 leechs, 1 sea slug, 7 woodlouses, 8 horses, 4 cows, 7 grasshoppers, 4 birds?
",290
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 7 lions, 10 chickens, 8 snakes, 12 wasps, 15 sheeps, 2 crickets, 10 jellyfishs, 1 deer, 15 elephants, 10 ducks?
",276
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 12 horses, 9 butterflys, 3 dogs, 2 beetles, 15 cockroachs, 10 chickens?
",236
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 leechs, 6 tigers, 15 crabs, 13 jellyfishs, 3 crickets, 6 woodlouses, 9 beetles?
",330
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 14 flatworms, 11 lions, 2 leechs?
",44
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 12 cockroachs, 7 woodlouses, 12 scorpions, 7 crickets, 6 sea slugs, 6 giraffes, 11 insects?
",398
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 insect, 10 jellyfishs, 11 shrimps, 1 lion, 10 wasps, 4 deers, 10 starfishs?
",246
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 starfishs, 10 crabs, 12 snakes, 9 birds, 15 dogs, 1 duck, 9 crickets, 14 leechs, 12 grasshoppers?
",321
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 lobsters, 5 flatworms, 10 starfishs, 10 ants, 12 wasps, 4 beetles, 6 sheeps, 12 insects, 7 grasshoppers, 13 elephants?
",446
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 woodlouses, 14 shrimps, 1 jellyfish, 2 cows, 13 birds, 5 crabs?
",280
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 shrimp, 2 snakes, 8 sheeps?
",42
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 cockroachs, 5 sea slugs, 13 snakes, 10 cows?
",100
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 7 jellyfishs, 12 deers, 2 chickens, 1 butterfly, 2 giraffes, 1 woodlouse?
",80
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 14 jellyfishs, 13 tigers, 13 insects, 11 dogs, 4 lions, 13 grasshoppers, 15 butterflys, 6 chickens, 4 woodlouses, 11 flatworms?
",426
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 starfishs, 5 shrimps, 14 scorpions, 1 snake, 2 lobsters, 3 jellyfishs, 8 elephants?
",279
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 butterflys, 12 crabs, 2 bees?
",150
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 11 butterflys, 10 fireflys, 10 woodlouses, 4 birds, 12 crickets?
",346
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 leech, 13 giraffes, 5 sea slugs, 3 deers, 13 crabs, 14 cockroachs, 12 praying mantiss?
",350
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 dogs, 8 tigers, 14 birds, 15 cows, 3 wasps, 15 cats, 8 butterflys, 13 humans, 15 snakes, 15 deers?
",384
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 14 crabs, 10 ducks, 7 crickets, 2 humans?
",206
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 starfishs, 11 horses, 15 flatworms, 3 giraffes, 2 insects, 10 ducks, 11 woodlouses, 7 birds, 10 lions, 11 scorpions?
",399
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 6 woodlouses, 12 fireflys, 13 starfishs, 7 lobsters, 13 wasps, 3 crickets, 4 cows, 3 snakes?
",403
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 lobsters, 7 jellyfishs, 1 beetle?
",106
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 birds, 11 ants, 15 butterflys, 1 wasp, 9 grasshoppers?
",222
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 cockroachs, 1 deer, 7 lions, 2 dogs, 1 firefly, 8 scorpions, 3 chickens, 8 butterflys, 12 tigers?
",302
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 woodlouses, 13 giraffes, 14 beetles?
",276
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 dogs, 8 horses, 9 lobsters, 9 shrimps, 7 deers, 9 fireflys, 3 cats, 11 tigers, 9 snakes, 15 elephants?
",422
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 jellyfishs, 6 sheeps, 6 butterflys?
",60
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 2 woodlouses, 13 lions, 1 tiger, 4 praying mantiss, 9 horses, 11 bees, 3 snakes, 10 deers, 14 sheeps?
",306
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 lobsters, 8 shrimps, 4 starfishs, 5 grasshoppers, 7 ducks, 13 cockroachs, 6 ants?
",338
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 fireflys, 8 dogs, 15 elephants, 2 chickens?
",120
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 dogs, 11 crabs, 3 scorpions, 12 sheeps, 4 starfishs, 12 grasshoppers, 15 flatworms, 7 tigers?
",322
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 dogs, 8 humans, 10 cockroachs, 12 chickens, 13 lobsters, 2 flatworms, 11 beetles, 14 grasshoppers, 15 wasps?
",510
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 11 lions, 4 starfishs, 9 grasshoppers, 10 shrimps?
",218
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 insects, 1 bee, 3 butterflys, 9 elephants, 12 ducks, 5 giraffes?
",164
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 spiders, 4 woodlouses, 15 cows, 6 ducks, 7 jellyfishs, 2 scorpions, 12 elephants, 14 cockroachs, 15 snakes, 13 cats?
",352
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 starfishs, 1 ant, 14 cows, 14 shrimps, 9 sheeps, 1 cat?
",287
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 spiders, 6 chickens, 8 butterflys, 1 grasshopper, 7 bees, 12 sea slugs, 5 praying mantiss, 11 lions, 5 cockroachs, 14 giraffes?
",308
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 praying mantiss, 12 deers, 11 scorpions, 10 butterflys, 9 jellyfishs?
",250
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 butterflys, 3 lobsters, 15 cats, 4 bees, 6 scorpions, 1 duck, 15 spiders, 1 giraffe, 1 deer, 8 shrimps?
",426
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 beetle, 2 ants, 11 spiders, 15 shrimps, 12 deers, 3 lobsters?
",334
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 grasshoppers, 1 lobster, 1 bird, 8 giraffes, 8 sea slugs?
",68
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 horse, 5 deers, 5 crickets, 11 scorpions, 7 cows?
",170
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 ants, 8 spiders, 14 flatworms, 8 woodlouses?
",224
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 2 grasshoppers, 13 elephants, 10 fireflys, 12 lobsters?
",244
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 14 birds, 11 grasshoppers, 10 crabs?
",194
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 lobster, 12 sheeps, 10 lions, 4 giraffes, 12 leechs, 4 sea slugs?
",114
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 7 bees, 2 beetles, 7 grasshoppers, 15 praying mantiss?
",186
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 lions, 3 chickens, 3 spiders, 15 humans, 6 leechs, 3 lobsters, 9 shrimps, 15 bees, 3 dogs?
",334
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 14 leechs, 5 woodlouses, 9 grasshoppers, 6 deers, 6 butterflys, 1 horse, 15 giraffes?
",248
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 3 wasps, 1 spider, 3 lions, 3 ants, 2 sea slugs, 9 flatworms?
",56
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 elephants, 4 praying mantiss, 4 wasps, 7 spiders, 15 beetles, 14 snakes, 8 grasshoppers, 9 birds, 4 shrimps, 1 butterfly?
",346
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 woodlouses, 4 jellyfishs, 8 dogs, 11 spiders, 10 lobsters, 6 starfishs, 9 horses, 2 shrimps?
",432
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 jellyfishs, 9 sea slugs, 15 sheeps, 10 chickens, 13 lions, 4 bees, 3 dogs, 7 grasshoppers, 5 tigers, 4 crabs?
",270
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 2 cows, 5 cockroachs, 1 cricket?
",44
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 elephants, 7 dogs, 3 birds, 4 sheeps, 10 snakes?
",66
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 shrimps, 1 tiger, 4 dogs, 9 ants, 11 elephants?
",248
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 shrimps, 6 deers, 4 sea slugs?
",104
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 cricket, 9 leechs, 5 lions, 13 shrimps, 7 humans, 15 sheeps?
",230
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 shrimps, 11 giraffes, 5 woodlouses, 9 snakes?
",164
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 14 scorpions, 12 birds, 4 butterflys?
",160
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 7 cats, 2 ducks, 7 elephants?
",60
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 6 grasshoppers, 10 ducks, 7 sea slugs, 8 horses, 8 woodlouses, 5 snakes, 12 starfishs, 1 scorpion, 15 deers?
",328
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 lobsters, 15 deers, 1 lion, 14 jellyfishs, 12 cows, 14 crabs, 2 chickens, 4 shrimps, 8 spiders, 8 beetles?
",448
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 cows, 3 bees, 12 horses, 2 butterflys, 10 snakes, 11 crabs, 6 leechs, 10 dogs, 2 jellyfishs?
",244
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 grasshoppers, 8 starfishs, 6 scorpions, 1 shrimp, 6 deers, 10 humans?
",166
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 6 butterflys, 15 sheeps, 15 praying mantiss, 5 snakes, 3 elephants, 12 starfishs, 12 jellyfishs, 3 humans, 5 cows?
",284
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 5 ducks, 7 chickens, 13 shrimps, 7 dogs, 13 butterflys, 5 lions?
",280
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 11 deers, 14 shrimps, 11 spiders, 4 snakes, 1 giraffe, 3 crickets, 8 lobsters, 14 lions, 14 chickens?
",458
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 2 ants, 1 deer, 14 tigers, 5 cockroachs, 5 ducks, 8 scorpions, 15 giraffes, 7 lions, 4 leechs, 1 bird?
",266
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 10 humans, 8 woodlouses, 3 elephants?
",144
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 11 wasps, 11 woodlouses, 6 deers, 5 butterflys, 9 cockroachs, 9 humans, 9 sheeps, 9 tigers, 6 birds?
",430
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 11 chickens, 1 beetle, 6 elephants, 12 ants, 9 jellyfishs, 5 scorpions, 13 crabs, 14 cockroachs?
",378
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 flatworms, 15 birds, 9 tigers, 5 scorpions, 4 wasps, 9 starfishs?
",175
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 12 flatworms, 10 cockroachs, 11 beetles, 5 chickens, 10 elephants, 12 birds, 2 woodlouses, 8 crabs?
",308
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 2 tigers, 5 jellyfishs, 12 deers, 12 praying mantiss, 12 crabs?
",248
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 flatworms, 13 birds, 4 spiders, 11 sheeps, 6 cows, 14 giraffes, 13 woodlouses?
",364
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 11 deers, 14 leechs, 14 birds, 3 crabs, 14 crickets, 12 cats, 14 sheeps?
",290
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 lions, 14 tigers, 4 shrimps, 2 flatworms, 12 beetles, 11 starfishs, 13 giraffes, 6 humans?
",319
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 2 spiders, 9 bees, 7 praying mantiss, 2 chickens?
",116
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 bees, 13 crabs, 5 insects, 7 crickets, 14 giraffes, 4 grasshoppers, 12 fireflys, 14 humans?
",406
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 scorpions, 5 crabs, 13 lobsters, 8 jellyfishs, 4 flatworms, 14 ants, 1 tiger, 15 insects, 1 grasshopper, 3 starfishs?
",499
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 9 sheeps, 15 ants, 13 chickens, 12 humans, 5 snakes, 9 elephants, 9 horses, 7 spiders, 6 giraffes?
",328
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 insects, 9 ants, 12 elephants, 13 dogs, 11 fireflys, 10 beetles, 3 crabs?
",400
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 13 wasps, 11 woodlouses, 8 scorpions, 4 crabs, 1 butterfly, 8 giraffes, 10 lions?
",414
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 lobster, 3 humans, 5 jellyfishs, 15 giraffes, 2 sea slugs, 11 ducks, 13 leechs, 5 spiders?
",138
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 8 fireflys, 15 starfishs, 10 ducks, 8 scorpions, 12 chickens, 1 dog, 15 grasshoppers?
",325
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 1 tiger, 8 fireflys, 11 crabs, 11 butterflys, 10 elephants?
",268
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 4 lobsters, 6 crickets, 13 chickens, 6 horses, 7 grasshoppers, 5 lions?
",188
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 2 bees, 5 cats, 7 grasshoppers, 9 cows, 9 lobsters, 10 fireflys, 5 crabs, 10 flatworms?
",310
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 7 scorpions, 5 elephants, 4 crickets, 14 chickens?
",128
"Your task is to count how many legs there are in total when given a list of animals.

Now, how many legs are there in total if you have 15 insects, 14 birds, 8 leechs, 8 horses, 3 tigers, 13 jellyfishs, 4 praying mantiss?
",186
